L-value,"AlmO, int (2TAPL), 1 Acm","AlmO, int (4TAPL), 1 Acm","And, int (2TAPL), 1 Acm","And, int (4TAPL), 1 Acm","AlmO, diff (2TAPL), 1 Acm","AlmO, diff (4TAPL), 1 Acm"
186.845,55.00000,67.00000,42.00000,54.00000,78,132
186.85,72.00000,84.00000,41.00000,55.00000,80,112
186.855,56.00000,77.00000,44.00000,49.00000,75,121
186.86,52.00000,84.00000,47.00000,56.00000,79,124
186.865,65.00000,66.00000,38.00000,63.00000,72,104
186.87,55.00000,79.00000,44.00000,60.00000,76,139
186.875,81.00000,83.00000,39.00000,46.00000,66,127
186.88,68.00000,67.00000,60.00000,51.00000,92,136
186.885,57.00000,71.00000,44.00000,61.00000,77,149
186.89,64.00000,76.00000,48.00000,57.00000,70,154
186.895,41.00000,87.00000,47.00000,65.00000,70,127
186.9,58.00000,72.00000,44.00000,50.00000,72,115
186.905,60.00000,66.00000,48.00000,63.00000,66,130
186.91,68.00000,70.00000,37.00000,50.00000,81,130
186.915,53.00000,69.00000,42.00000,61.00000,63,128
186.92,57.00000,61.00000,38.00000,64.00000,73,143
186.925,59.00000,69.00000,46.00000,66.00000,72,115
186.93,54.00000,77.00000,33.00000,64.00000,95,150
186.935,57.00000,80.00000,42.00000,64.00000,100,130
186.94,45.00000,71.00000,33.00000,78.00000,84,137
186.945,56.00000,86.00000,35.00000,49.00000,71,136
186.95,66.00000,93.00000,49.00000,55.00000,63,142
186.955,62.00000,76.00000,44.00000,55.00000,82,126
186.96,59.00000,69.00000,44.00000,59.00000,73,160
186.965,61.00000,94.00000,44.00000,71.00000,87,137
186.97,52.00000,69.00000,35.00000,77.00000,80,132
186.975,60.00000,69.00000,38.00000,56.00000,73,146
186.98,46.00000,81.00000,48.00000,72.00000,79,161
186.985,66.00000,81.00000,55.00000,60.00000,74,152
186.99,53.00000,61.00000,50.00000,59.00000,92,158
186.995,47.00000,88.00000,37.00000,64.00000,86,151
187,68.00000,75.00000,42.00000,77.00000,95,136
187.005,64.00000,81.00000,40.00000,86.00000,78,166
187.01,57.00000,79.00000,46.00000,77.00000,83,138
187.015,65.00000,85.00000,43.00000,78.00000,87,152
187.02,50.00000,68.00000,51.00000,66.00000,83,152
187.025,51.00000,74.00000,43.00000,63.00000,72,136
187.03,57.00000,90.00000,36.00000,72.00000,86,160
187.035,60.00000,80.00000,30.00000,74.00000,76,176
187.04,59.00000,72.00000,45.00000,64.00000,88,165
187.045,62.00000,74.00000,48.00000,77.00000,100,155
187.05,49.00000,80.00000,38.00000,53.00000,76,169
187.055,55.00000,93.00000,47.00000,72.00000,97,156
187.06,68.00000,91.00000,52.00000,62.00000,75,157
187.065,54.00000,84.00000,52.00000,81.00000,106,155
187.07,55.00000,87.00000,47.00000,88.00000,79,171
187.075,57.00000,80.00000,62.00000,88.00000,100,171
187.08,64.00000,85.00000,51.00000,75.00000,92,157
187.085,61.00000,83.00000,53.00000,70.00000,106,153
187.09,57.00000,90.00000,56.00000,107.00000,91,176
187.095,52.00000,85.00000,42.00000,79.00000,70,176
187.1,62.00000,87.00000,39.00000,80.00000,85,158
187.105,57.00000,91.00000,41.00000,90.00000,86,163
187.11,71.00000,86.00000,47.00000,100.00000,82,177
187.115,67.00000,99.00000,45.00000,75.00000,96,162
187.12,71.00000,71.00000,55.00000,86.00000,95,174
187.125,49.00000,95.00000,38.00000,100.00000,84,144
187.13,54.00000,106.00000,50.00000,107.00000,104,184
187.135,70.00000,106.00000,53.00000,101.00000,101,197
187.14,67.00000,99.00000,58.00000,95.00000,86,163
187.145,59.00000,78.00000,44.00000,91.00000,124,178
187.15,56.00000,109.00000,51.00000,109.00000,106,183
187.155,73.00000,83.00000,59.00000,106.00000,89,178
187.16,64.00000,89.00000,62.00000,108.00000,109,192
187.165,62.00000,113.00000,70.00000,117.00000,101,182
187.17,67.00000,111.00000,50.00000,132.00000,88,180
187.175,71.00000,97.00000,57.00000,103.00000,116,191
187.18,68.00000,102.00000,61.00000,127.00000,95,189
187.185,69.00000,118.00000,59.00000,102.00000,104,186
187.19,59.00000,98.00000,62.00000,111.00000,93,201
187.195,70.00000,107.00000,52.00000,96.00000,105,184
187.2,72.00000,99.00000,55.00000,125.00000,102,179
187.205,62.00000,112.00000,63.00000,132.00000,95,182
187.21,73.00000,117.00000,63.00000,130.00000,83,182
187.215,63.00000,105.00000,58.00000,130.00000,97,191
187.22,79.00000,100.00000,54.00000,147.00000,100,166
187.225,79.00000,111.00000,77.00000,163.00000,97,190
187.23,82.00000,90.00000,52.00000,128.00000,103,189
187.235,54.00000,138.00000,57.00000,153.00000,121,207
187.24,74.00000,113.00000,57.00000,160.00000,106,205
187.245,62.00000,126.00000,57.00000,136.00000,114,196
187.25,54.00000,94.00000,76.00000,164.00000,93,213
187.255,64.00000,104.00000,76.00000,152.00000,99,210
187.26,63.00000,104.00000,56.00000,167.00000,106,224
187.265,72.00000,122.00000,77.00000,167.00000,112,189
187.27,58.00000,103.00000,50.00000,169.00000,96,237
187.275,88.00000,111.00000,82.00000,165.00000,140,226
187.28,84.00000,121.00000,94.00000,171.00000,126,215
187.285,82.00000,120.00000,85.00000,182.00000,111,186
187.29,86.00000,122.00000,77.00000,168.00000,106,240
187.295,81.00000,113.00000,90.00000,156.00000,101,201
187.3,84.00000,135.00000,72.00000,200.00000,121,226
187.305,87.00000,101.00000,90.00000,183.00000,113,210
187.31,75.00000,95.00000,73.00000,157.00000,109,195
187.315,94.00000,120.00000,99.00000,180.00000,137,207
187.32,87.00000,138.00000,98.00000,176.00000,120,217
187.325,85.00000,127.00000,86.00000,180.00000,144,227
187.33,67.00000,128.00000,101.00000,201.00000,121,258
187.335,89.00000,118.00000,97.00000,236.00000,120,181
187.34,77.00000,98.00000,85.00000,218.00000,124,207
187.345,77.00000,139.00000,108.00000,196.00000,117,246
187.35,65.00000,128.00000,118.00000,200.00000,135,230
187.355,95.00000,118.00000,124.00000,194.00000,133,209
187.36,92.00000,109.00000,119.00000,188.00000,121,205
187.365,99.00000,128.00000,117.00000,188.00000,141,233
187.37,87.00000,126.00000,100.00000,201.00000,143,247
187.375,78.00000,135.00000,123.00000,209.00000,139,235
187.38,81.00000,113.00000,123.00000,207.00000,136,250
187.385,88.00000,126.00000,121.00000,222.00000,147,233
187.39,80.00000,120.00000,118.00000,235.00000,130,230
187.395,79.00000,134.00000,114.00000,202.00000,136,232
187.4,84.00000,154.00000,117.00000,204.00000,141,209
187.405,79.00000,118.00000,117.00000,235.00000,132,259
187.41,97.00000,140.00000,143.00000,255.00000,129,241
187.415,97.00000,131.00000,105.00000,216.00000,134,207
187.42,87.00000,141.00000,158.00000,230.00000,139,263
187.425,83.00000,148.00000,127.00000,225.00000,144,248
187.43,99.00000,127.00000,152.00000,261.00000,160,250
187.435,93.00000,161.00000,142.00000,241.00000,149,234
187.44,71.00000,135.00000,141.00000,248.00000,138,244
187.445,77.00000,142.00000,144.00000,270.00000,142,245
187.45,94.00000,138.00000,147.00000,229.00000,141,264
187.455,94.00000,152.00000,139.00000,270.00000,161,258
187.46,94.00000,150.00000,162.00000,268.00000,148,236
187.465,81.00000,149.00000,152.00000,273.00000,163,240
187.47,98.00000,137.00000,149.00000,282.00000,146,272
187.475,84.00000,146.00000,162.00000,268.00000,148,281
187.48,97.00000,144.00000,158.00000,242.00000,121,254
187.485,101.00000,152.00000,154.00000,278.00000,159,237
187.49,102.00000,153.00000,150.00000,266.00000,182,256
187.495,97.00000,167.00000,158.00000,253.00000,161,265
187.5,86.00000,185.00000,194.00000,266.00000,141,252
187.505,95.00000,176.00000,178.00000,286.00000,170,238
187.51,108.00000,183.00000,201.00000,269.00000,151,283
187.515,90.00000,174.00000,184.00000,258.00000,140,286
187.52,92.00000,195.00000,175.00000,294.00000,164,260
187.525,120.00000,183.00000,163.00000,272.00000,169,267
187.53,98.00000,194.00000,174.00000,259.00000,172,294
187.535,98.00000,190.00000,165.00000,277.00000,165,278
187.54,103.00000,180.00000,189.00000,270.00000,136,279
187.545,103.00000,197.00000,185.00000,284.00000,140,274
187.55,104.00000,207.00000,228.00000,280.00000,173,277
187.555,108.00000,171.00000,211.00000,258.00000,146,298
187.56,108.00000,211.00000,184.00000,272.00000,148,316
187.565,113.00000,211.00000,208.00000,287.00000,166,260
187.57,111.00000,231.00000,224.00000,267.00000,167,279
187.575,112.00000,205.00000,261.00000,262.00000,170,319
187.58,130.00000,218.00000,237.00000,233.00000,189,270
187.585,109.00000,200.00000,199.00000,259.00000,162,298
187.59,107.00000,190.00000,206.00000,271.00000,172,310
187.595,122.00000,220.00000,233.00000,255.00000,174,296
187.6,118.00000,225.00000,202.00000,254.00000,179,281
187.605,109.00000,227.00000,213.00000,228.00000,199,317
187.61,114.00000,255.00000,232.00000,240.00000,187,275
187.615,133.00000,241.00000,224.00000,252.00000,160,303
187.62,143.00000,229.00000,218.00000,294.00000,162,274
187.625,141.00000,232.00000,227.00000,257.00000,182,314
187.63,136.00000,233.00000,226.00000,235.00000,195,274
187.635,147.00000,253.00000,218.00000,274.00000,172,313
187.64,145.00000,221.00000,217.00000,249.00000,158,289
187.645,124.00000,243.00000,224.00000,240.00000,186,293
187.65,142.00000,222.00000,229.00000,236.00000,170,289
187.655,164.00000,221.00000,252.00000,221.00000,188,294
187.66,147.00000,251.00000,217.00000,247.00000,171,314
187.665,122.00000,251.00000,237.00000,233.00000,197,265
187.67,156.00000,247.00000,227.00000,224.00000,202,310
187.675,149.00000,256.00000,224.00000,216.00000,170,332
187.68,169.00000,232.00000,226.00000,230.00000,190,284
187.685,166.00000,230.00000,208.00000,228.00000,200,320
187.69,149.00000,253.00000,228.00000,229.00000,178,310
187.695,154.00000,254.00000,222.00000,232.00000,189,300
187.7,184.00000,248.00000,212.00000,221.00000,199,297
187.705,175.00000,234.00000,218.00000,198.00000,198,334
187.71,163.00000,236.00000,201.00000,227.00000,199,287
187.715,164.00000,267.00000,208.00000,208.00000,196,296
187.72,187.00000,257.00000,233.00000,253.00000,202,273
187.725,189.00000,251.00000,259.00000,216.00000,216,331
187.73,168.00000,258.00000,234.00000,206.00000,195,294
187.735,149.00000,228.00000,209.00000,199.00000,194,321
187.74,177.00000,279.00000,209.00000,178.00000,228,308
187.745,199.00000,233.00000,221.00000,204.00000,212,293
187.75,182.00000,236.00000,221.00000,213.00000,187,271
187.755,185.00000,253.00000,210.00000,199.00000,196,309
187.76,196.00000,229.00000,202.00000,211.00000,232,317
187.765,190.00000,236.00000,225.00000,182.00000,198,306
187.77,194.00000,249.00000,208.00000,199.00000,201,280
187.775,189.00000,246.00000,197.00000,183.00000,234,298
187.78,197.00000,231.00000,214.00000,194.00000,238,274
187.785,186.00000,241.00000,217.00000,203.00000,249,279
187.79,197.00000,261.00000,217.00000,168.00000,232,302
187.795,176.00000,234.00000,208.00000,176.00000,238,315
187.8,221.00000,216.00000,185.00000,177.00000,240,313
187.805,242.00000,238.00000,195.00000,172.00000,244,297
187.81,193.00000,232.00000,184.00000,172.00000,209,297
187.815,210.00000,243.00000,205.00000,187.00000,230,311
187.82,212.00000,232.00000,199.00000,155.00000,236,319
187.825,203.00000,242.00000,205.00000,167.00000,240,270
187.83,211.00000,205.00000,170.00000,190.00000,195,275
187.835,203.00000,202.00000,189.00000,158.00000,244,290
187.84,203.00000,226.00000,177.00000,156.00000,226,269
187.845,226.00000,203.00000,191.00000,161.00000,220,282
187.85,204.00000,240.00000,213.00000,159.00000,224,278
187.855,206.00000,201.00000,160.00000,173.00000,214,296
187.86,227.00000,176.00000,192.00000,147.00000,230,291
187.865,226.00000,216.00000,190.00000,126.00000,223,287
187.87,194.00000,195.00000,167.00000,160.00000,220,263
187.875,219.00000,210.00000,156.00000,158.00000,222,255
187.88,202.00000,177.00000,166.00000,130.00000,250,244
187.885,194.00000,198.00000,158.00000,154.00000,204,293
187.89,198.00000,175.00000,168.00000,148.00000,223,293
187.895,191.00000,184.00000,155.00000,138.00000,215,253
187.9,205.00000,195.00000,162.00000,156.00000,256,324
187.905,194.00000,178.00000,166.00000,154.00000,242,261
187.91,221.00000,160.00000,147.00000,139.00000,243,267
187.915,211.00000,158.00000,145.00000,144.00000,243,249
187.92,224.00000,164.00000,173.00000,119.00000,252,270
187.925,195.00000,142.00000,150.00000,124.00000,230,256
187.93,191.00000,157.00000,147.00000,117.00000,249,283
187.935,208.00000,151.00000,141.00000,128.00000,230,287
187.94,207.00000,138.00000,144.00000,110.00000,300,259
187.945,167.00000,141.00000,145.00000,115.00000,222,238
187.95,180.00000,137.00000,144.00000,118.00000,256,238
187.955,197.00000,120.00000,163.00000,120.00000,245,255
187.96,192.00000,155.00000,131.00000,139.00000,239,272
187.965,189.00000,129.00000,134.00000,133.00000,248,257
187.97,186.00000,137.00000,151.00000,123.00000,242,238
187.975,197.00000,117.00000,144.00000,132.00000,230,234
187.98,168.00000,130.00000,147.00000,127.00000,278,257
187.985,184.00000,122.00000,124.00000,130.00000,243,258
187.99,185.00000,125.00000,132.00000,138.00000,257,237
187.995,165.00000,133.00000,136.00000,98.00000,270,214
188,180.00000,126.00000,135.00000,114.00000,228,249
188.005,160.00000,101.00000,138.00000,110.00000,229,252
188.01,167.00000,121.00000,132.00000,109.00000,248,261
188.015,177.00000,117.00000,143.00000,105.00000,246,228
188.02,156.00000,111.00000,118.00000,102.00000,260,245
188.025,160.00000,124.00000,135.00000,115.00000,222,236
188.03,177.00000,120.00000,113.00000,107.00000,266,244
188.035,169.00000,107.00000,139.00000,109.00000,245,229
188.04,146.00000,121.00000,112.00000,100.00000,253,234
188.045,137.00000,87.00000,120.00000,91.00000,212,228
188.05,140.00000,115.00000,109.00000,96.00000,234,232
188.055,150.00000,80.00000,119.00000,103.00000,261,226
188.06,134.00000,96.00000,112.00000,99.00000,238,227
188.065,133.00000,100.00000,115.00000,97.00000,245,222
188.07,133.00000,94.00000,98.00000,93.00000,244,195
188.075,152.00000,89.00000,108.00000,90.00000,250,223
188.08,123.00000,87.00000,112.00000,115.00000,221,226
188.085,132.00000,75.00000,103.00000,98.00000,235,221
188.09,128.00000,81.00000,132.00000,94.00000,240,208
188.095,117.00000,77.00000,96.00000,95.00000,250,205
188.1,133.00000,69.00000,99.00000,73.00000,223,208
188.105,108.00000,87.00000,122.00000,105.00000,234,192
188.11,114.00000,86.00000,95.00000,80.00000,238,198
188.115,137.00000,84.00000,116.00000,107.00000,220,210
188.12,124.00000,72.00000,103.00000,77.00000,221,206
188.125,97.00000,76.00000,86.00000,87.00000,225,200
188.13,110.00000,76.00000,101.00000,95.00000,216,213
188.135,88.00000,76.00000,95.00000,74.00000,221,184
188.14,98.00000,76.00000,111.00000,87.00000,223,220
188.145,107.00000,62.00000,97.00000,86.00000,219,228
188.15,107.00000,62.00000,79.00000,95.00000,242,172
188.155,97.00000,71.00000,92.00000,64.00000,198,195
188.16,83.00000,63.00000,98.00000,59.00000,210,160
188.165,98.00000,74.00000,95.00000,88.00000,231,205
188.17,92.00000,59.00000,82.00000,72.00000,223,218
188.175,92.00000,71.00000,86.00000,78.00000,219,176
188.18,92.00000,57.00000,80.00000,71.00000,218,202
188.185,90.00000,64.00000,92.00000,94.00000,232,195
188.19,98.00000,62.00000,90.00000,82.00000,216,204
188.195,72.00000,67.00000,82.00000,84.00000,224,197
188.2,71.00000,75.00000,75.00000,60.00000,213,172
188.205,70.00000,58.00000,74.00000,54.00000,208,179
188.21,86.00000,66.00000,76.00000,73.00000,190,190
188.215,71.00000,45.00000,65.00000,65.00000,180,191
188.22,65.00000,52.00000,76.00000,66.00000,219,172
188.225,76.00000,58.00000,94.00000,67.00000,244,174
188.23,64.00000,33.00000,68.00000,75.00000,219,183
188.235,76.00000,58.00000,86.00000,65.00000,213,164
188.24,67.00000,59.00000,74.00000,63.00000,187,165
188.245,67.00000,47.00000,88.00000,86.00000,213,144
188.25,74.00000,50.00000,78.00000,60.00000,192,179
188.255,56.00000,48.00000,83.00000,61.00000,188,173
188.26,58.00000,51.00000,79.00000,45.00000,215,164
188.265,72.00000,48.00000,72.00000,56.00000,190,157
188.27,65.00000,48.00000,69.00000,61.00000,210,164
188.275,54.00000,62.00000,86.00000,62.00000,182,157
188.28,58.00000,59.00000,71.00000,61.00000,188,166
188.285,60.00000,38.00000,80.00000,51.00000,201,155
188.29,47.00000,47.00000,52.00000,63.00000,198,180
188.295,46.00000,51.00000,77.00000,65.00000,191,155
188.3,54.00000,57.00000,53.00000,64.00000,234,158
188.305,57.00000,44.00000,58.00000,62.00000,191,172
188.31,56.00000,46.00000,51.00000,43.00000,187,180
188.315,41.00000,42.00000,61.00000,63.00000,199,169
188.32,56.00000,25.00000,54.00000,53.00000,184,184
188.325,50.00000,30.00000,47.00000,55.00000,190,155
188.33,53.00000,38.00000,55.00000,49.00000,166,175
188.335,32.00000,45.00000,57.00000,41.00000,181,167
188.34,45.00000,40.00000,53.00000,54.00000,206,162
188.345,50.00000,48.00000,58.00000,52.00000,181,147
188.35,46.00000,44.00000,70.00000,58.00000,176,143
188.355,53.00000,45.00000,53.00000,54.00000,159,156
188.36,49.00000,39.00000,63.00000,46.00000,166,126
188.365,48.00000,44.00000,48.00000,41.00000,174,136
188.37,34.00000,46.00000,58.00000,61.00000,176,180
188.375,47.00000,44.00000,49.00000,53.00000,167,141
188.38,52.00000,35.00000,59.00000,53.00000,174,162
188.385,33.00000,37.00000,57.00000,49.00000,157,168
188.39,39.00000,43.00000,67.00000,37.00000,163,165
188.395,42.00000,53.00000,49.00000,44.00000,178,131
188.4,36.00000,31.00000,71.00000,49.00000,173,167
188.405,45.00000,40.00000,49.00000,49.00000,144,138
188.41,37.00000,39.00000,62.00000,55.00000,154,147
188.415,37.00000,45.00000,62.00000,57.00000,140,142
188.42,43.00000,49.00000,51.00000,47.00000,166,146
188.425,45.00000,41.00000,51.00000,43.00000,179,138
188.43,51.00000,41.00000,52.00000,49.00000,157,152
188.435,43.00000,34.00000,45.00000,42.00000,158,133
188.44,50.00000,26.00000,54.00000,42.00000,146,153
188.445,51.00000,44.00000,50.00000,45.00000,141,119
188.45,41.00000,40.00000,53.00000,50.00000,129,126
188.455,49.00000,42.00000,52.00000,45.00000,141,130
188.46,38.00000,42.00000,59.00000,39.00000,149,121
188.465,46.00000,26.00000,57.00000,32.00000,142,142
188.47,45.00000,52.00000,55.00000,46.00000,156,142
188.475,29.00000,47.00000,52.00000,38.00000,157,146
188.48,20.00000,37.00000,40.00000,60.00000,164,128
188.485,50.00000,39.00000,39.00000,47.00000,158,124
188.49,32.00000,33.00000,40.00000,48.00000,170,136
188.495,34.00000,42.00000,36.00000,41.00000,140,151
188.5,32.00000,40.00000,38.00000,50.00000,140,131
188.505,46.00000,35.00000,50.00000,31.00000,141,136
188.51,30.00000,47.00000,48.00000,40.00000,124,115
188.515,41.00000,23.00000,31.00000,37.00000,132,145
188.52,42.00000,30.00000,52.00000,49.00000,141,109
188.525,35.00000,27.00000,41.00000,39.00000,153,146
188.53,35.00000,27.00000,36.00000,42.00000,159,133
188.535,37.00000,48.00000,46.00000,38.00000,141,131
188.54,34.00000,34.00000,37.00000,44.00000,128,109
188.545,29.00000,35.00000,37.00000,39.00000,144,135
188.55,46.00000,39.00000,42.00000,38.00000,160,104
188.555,36.00000,45.00000,44.00000,39.00000,131,120
188.56,34.00000,38.00000,35.00000,45.00000,134,123
188.565,44.00000,31.00000,38.00000,38.00000,138,131
188.57,34.00000,31.00000,26.00000,41.00000,120,127
188.575,29.00000,39.00000,46.00000,46.00000,132,111
188.58,38.00000,32.00000,46.00000,38.00000,138,119
188.585,29.00000,33.00000,31.00000,35.00000,134,123
188.59,35.00000,39.00000,34.00000,44.00000,115,101
188.595,41.00000,32.00000,45.00000,40.00000,129,124
188.6,32.00000,35.00000,42.00000,44.00000,111,121
188.605,36.00000,39.00000,31.00000,35.00000,130,124
188.61,42.00000,42.00000,42.00000,35.00000,122,121
188.615,29.00000,43.00000,37.00000,31.00000,116,130
188.62,28.00000,23.00000,27.00000,35.00000,135,112
188.625,33.00000,33.00000,38.00000,34.00000,114,139
188.63,28.00000,33.00000,37.00000,26.00000,120,95
188.635,29.00000,40.00000,26.00000,44.00000,127,122
188.64,40.00000,42.00000,32.00000,31.00000,117,121
188.645,32.00000,25.00000,32.00000,41.00000,125,128
188.65,34.00000,34.00000,33.00000,32.00000,113,112
188.655,30.00000,39.00000,31.00000,33.00000,127,140
188.66,41.00000,40.00000,40.00000,36.00000,135,107
188.665,21.00000,46.00000,41.00000,39.00000,104,121
188.67,30.00000,34.00000,43.00000,45.00000,95,135
188.675,29.00000,26.00000,35.00000,24.00000,125,114
188.68,32.00000,33.00000,31.00000,32.00000,119,120
188.685,32.00000,26.00000,24.00000,27.00000,112,121
188.69,29.00000,25.00000,41.00000,27.00000,111,114
188.695,35.00000,41.00000,31.00000,34.00000,111,135
188.7,20.00000,23.00000,25.00000,33.00000,129,147
188.705,20.00000,36.00000,41.00000,28.00000,117,118
188.71,29.00000,30.00000,36.00000,26.00000,125,146
188.715,38.00000,26.00000,49.00000,27.00000,97,113
188.72,25.00000,29.00000,31.00000,34.00000,153,124
188.725,25.00000,30.00000,37.00000,41.00000,115,117
188.73,37.00000,37.00000,26.00000,29.00000,117,119
188.735,24.00000,29.00000,44.00000,34.00000,128,112
188.74,25.00000,33.00000,29.00000,20.00000,105,115
188.745,21.00000,29.00000,34.00000,25.00000,117,110
188.75,21.00000,30.00000,27.00000,30.00000,105,97
188.755,31.00000,26.00000,22.00000,26.00000,105,126
188.76,32.00000,30.00000,28.00000,37.00000,109,117
188.765,23.00000,38.00000,24.00000,36.00000,123,113
188.77,24.00000,27.00000,22.00000,22.00000,90,136
188.775,29.00000,26.00000,28.00000,39.00000,100,108
188.78,36.00000,18.00000,22.00000,39.00000,126,128
188.785,26.00000,29.00000,25.00000,33.00000,110,139
188.79,38.00000,25.00000,17.00000,38.00000,115,118
188.795,34.00000,16.00000,31.00000,33.00000,94,132
188.8,28.00000,20.00000,40.00000,29.00000,116,118
188.805,24.00000,29.00000,22.00000,25.00000,120,129
188.81,30.00000,26.00000,30.00000,29.00000,125,123
188.815,24.00000,32.00000,26.00000,26.00000,112,105
188.82,31.00000,24.00000,34.00000,47.00000,93,104
188.825,31.00000,30.00000,32.00000,17.00000,94,126
188.83,21.00000,25.00000,28.00000,25.00000,109,119
188.835,32.00000,24.00000,33.00000,24.00000,109,93
188.84,26.00000,24.00000,32.00000,19.00000,119,106
188.845,29.00000,22.00000,31.00000,27.00000,120,134
188.85,32.00000,20.00000,33.00000,27.00000,109,116
188.855,30.00000,23.00000,25.00000,31.00000,81,102
188.86,26.00000,25.00000,22.00000,28.00000,97,100
188.865,26.00000,19.00000,19.00000,31.00000,98,113
188.87,25.00000,28.00000,28.00000,28.00000,124,110
188.875,26.00000,15.00000,33.00000,28.00000,106,145
188.88,23.00000,16.00000,25.00000,26.00000,105,111
188.885,23.00000,21.00000,22.00000,24.00000,106,120
188.89,27.00000,17.00000,19.00000,25.00000,87,139
188.895,19.00000,30.00000,22.00000,22.00000,123,131
188.9,21.00000,19.00000,25.00000,28.00000,91,113
188.905,35.00000,24.00000,29.00000,26.00000,105,97
188.91,15.00000,29.00000,23.00000,22.00000,84,117
188.915,24.00000,24.00000,25.00000,21.00000,113,126
188.92,24.00000,19.00000,19.00000,22.00000,107,100
188.925,26.00000,26.00000,37.00000,23.00000,109,125
188.93,19.00000,15.00000,20.00000,25.00000,116,109
188.935,26.00000,26.00000,28.00000,25.00000,85,116
188.94,19.00000,32.00000,23.00000,35.00000,103,119
188.945,20.00000,30.00000,32.00000,26.00000,121,121
188.95,30.00000,19.00000,18.00000,30.00000,106,115
188.955,24.00000,23.00000,26.00000,28.00000,76,107
188.96,23.00000,11.00000,20.00000,22.00000,99,120
188.965,22.00000,16.00000,22.00000,22.00000,111,105
188.97,25.00000,27.00000,27.00000,19.00000,89,139
188.975,28.00000,23.00000,19.00000,17.00000,97,120
188.98,31.00000,19.00000,23.00000,18.00000,115,104
188.985,24.00000,10.00000,28.00000,29.00000,125,100
188.99,17.00000,24.00000,20.00000,31.00000,97,123
188.995,24.00000,20.00000,25.00000,20.00000,104,131
189,13.00000,20.00000,25.00000,16.00000,68,119
189.005,14.00000,20.00000,15.00000,15.00000,84,120
189.01,26.00000,22.00000,32.00000,16.00000,117,117
189.015,22.00000,19.00000,17.00000,21.00000,98,108
189.02,19.00000,11.00000,19.00000,22.00000,111,113
189.025,17.00000,25.00000,16.00000,13.00000,107,109
189.03,19.00000,14.00000,20.00000,18.00000,106,100
189.035,14.00000,18.00000,20.00000,20.00000,94,114
189.04,17.00000,14.00000,22.00000,22.00000,100,108
189.045,21.00000,18.00000,30.00000,13.00000,87,113
189.05,16.00000,16.00000,17.00000,16.00000,92,98
189.055,18.00000,19.00000,20.00000,26.00000,87,108
189.06,22.00000,18.00000,22.00000,22.00000,91,108
189.065,28.00000,27.00000,17.00000,21.00000,79,120
189.07,17.00000,17.00000,16.00000,19.00000,74,111
189.075,26.00000,17.00000,22.00000,20.00000,102,101
189.08,12.00000,18.00000,23.00000,19.00000,100,103
189.085,13.00000,16.00000,16.00000,18.00000,79,121
189.09,14.00000,11.00000,23.00000,13.00000,104,111
189.095,17.00000,18.00000,17.00000,19.00000,99,111
189.1,19.00000,18.00000,11.00000,21.00000,73,116
189.105,13.00000,24.00000,27.00000,17.00000,97,123
189.11,16.00000,13.00000,25.00000,17.00000,99,116
189.115,16.00000,16.00000,21.00000,18.00000,102,117
189.12,17.00000,18.00000,20.00000,29.00000,92,110
189.125,24.00000,25.00000,23.00000,21.00000,91,119
189.13,11.00000,19.00000,14.00000,20.00000,110,109
189.135,16.00000,8.00000,16.00000,18.00000,83,101
189.14,17.00000,15.00000,21.00000,16.00000,87,107
189.145,12.00000,16.00000,17.00000,19.00000,83,109
189.15,12.00000,14.00000,22.00000,16.00000,88,128
189.155,20.00000,15.00000,13.00000,15.00000,82,121
189.16,16.00000,9.00000,14.00000,19.00000,101,105
189.165,13.00000,17.00000,27.00000,14.00000,96,114
189.17,15.00000,18.00000,19.00000,20.00000,78,135
189.175,24.00000,18.00000,15.00000,18.00000,77,122
189.18,20.00000,13.00000,25.00000,23.00000,96,121
189.185,15.00000,20.00000,16.00000,18.00000,106,94
189.19,20.00000,18.00000,17.00000,11.00000,80,101
189.195,21.00000,15.00000,19.00000,19.00000,84,124
189.2,14.00000,19.00000,19.00000,13.00000,98,129
189.205,13.00000,20.00000,14.00000,12.00000,102,141
189.21,14.00000,13.00000,16.00000,17.00000,82,107
189.215,13.00000,13.00000,8.00000,11.00000,87,123
189.22,12.00000,9.00000,20.00000,21.00000,107,130
189.225,14.00000,15.00000,17.00000,15.00000,104,106
189.23,8.00000,16.00000,17.00000,27.00000,96,108
189.235,18.00000,16.00000,18.00000,23.00000,87,125
189.24,20.00000,15.00000,14.00000,22.00000,106,125
189.245,8.00000,18.00000,14.00000,16.00000,92,109
189.25,22.00000,20.00000,19.00000,22.00000,101,124
189.255,14.00000,12.00000,21.00000,15.00000,91,118
189.26,10.00000,16.00000,8.00000,16.00000,102,121
189.265,13.00000,15.00000,19.00000,15.00000,85,110
189.27,19.00000,8.00000,15.00000,11.00000,94,105
189.275,12.00000,9.00000,15.00000,15.00000,78,128
189.28,11.00000,13.00000,17.00000,19.00000,86,127
189.285,15.00000,19.00000,15.00000,23.00000,91,110
189.29,21.00000,13.00000,18.00000,14.00000,81,112
189.295,10.00000,16.00000,13.00000,10.00000,80,131
189.3,11.00000,16.00000,24.00000,17.00000,110,126
189.305,17.00000,14.00000,9.00000,13.00000,94,99
189.31,15.00000,13.00000,15.00000,9.00000,93,101
189.315,15.00000,10.00000,20.00000,12.00000,88,112
